time,high,low,open,close,volume
2025-01-18 08:32:32,102846.44,102845.03,102845.03,102846.44,2
2025-01-18 08:33:12,102888.76,102877.14,102887.36,102878.54,8
2025-01-18 08:33:13,102885.76,102879.56,102880.41,102882.97,8
2025-01-18 08:33:14,102886.42,102877.16,102885.02,102883.23,3
2025-01-18 08:33:15,102890.09,102884.18,102884.18,102889.73,7
2025-01-18 08:33:16,102890.1,102888.69,102888.69,102890.1,2
2025-01-18 08:33:17,102889.42,102885.48,102888.02,102886.88,2
2025-01-18 08:33:18,102890.12,102886.81,102888.71,102889.41,7
2025-01-18 08:33:19,102890.13,102881.15,102887.69,102882.55,7
2025-01-18 08:33:20,102882.82,102872.4,102881.42,102878.67,9
2025-01-18 08:33:21,102882.94,102877.77,102877.77,102882.94,7
2025-01-18 08:33:22,102885.2,102879.44,102883.03,102885.2,6
2025-01-18 08:33:23,102890.13,102883.63,102883.81,102890.13,6
2025-01-18 08:33:24,102890.24,102886.35,102888.45,102890.2,8
2025-01-18 08:33:25,102890.24,102883.4,102886.5,102889.51,9
2025-01-18 08:33:26,102888.61,102882.27,102885.38,102888.61,7
2025-01-18 08:33:27,102894.3,102886.76,102888.78,102894.3,6
2025-01-18 08:33:28,102894.31,102886.34,102892.91,102887.74,5
2025-01-18 08:33:29,102891.96,102883.09,102890.56,102886.27,6
2025-01-18 08:33:30,102894.36,102888.99,102889.98,102894.36,7
2025-01-18 08:33:31,102892.84,102884.94,102891.44,102888.53,8
2025-01-18 08:33:32,102894.4,102889.54,102889.54,102894.4,5
2025-01-18 08:33:33,102896.43,102893.01,102893.01,102896.43,3
2025-01-18 08:33:34,102895.93,102883.52,102890.92,102895.93,6
2025-01-18 08:33:35,102913.53,102896.93,102896.93,102906.72,9
2025-01-18 08:33:36,102943.69,102906.21,102906.21,102934.6,9
2025-01-18 08:33:37,102931.64,102922.15,102930.24,102927.97,8
2025-01-18 08:33:38,102927.9,102915.01,102926.5,102920.5,7
2025-01-18 08:33:39,102923.59,102919.09,102919.09,102923.59,4
2025-01-18 08:33:41,102960.19,102958.66,102958.79,102960.08,4
2025-01-18 08:33:42,102971.67,102958.69,102958.69,102964.6,9
2025-01-18 08:33:43,102991.25,102967.53,102967.53,102984.25,7
2025-01-18 08:33:44,102987.94,102958.73,102979.23,102963.58,10
2025-01-18 08:33:45,102958.84,102947.62,102957.44,102949.03,7
2025-01-18 08:33:46,102949.05,102947.64,102947.64,102949.05,2
2025-01-18 08:33:47,102949.08,102947.66,102947.66,102949.08,3
2025-01-18 08:33:48,102962.88,102952.01,102959.56,102953.41,8
2025-01-18 08:33:49,102964.22,102952.02,102955.1,102964.22,7
