time,bid,ask,last,volume,time_msc,flags,volume_real
1737189152,102845.03,102846.43,0.0,0,1737189152401,6,0.0
1737189152,102845.04,102846.44,0.0,0,1737189152912,6,0.0
1737189192,102887.36,102888.76,0.0,0,1737189192010,6,0.0
1737189192,102884.1,102885.5,0.0,0,1737189192137,6,0.0
1737189192,102883.15,102884.55,0.0,0,1737189192248,6,0.0
1737189192,102879.45,102880.85,0.0,0,1737189192298,6,0.0
1737189192,102877.15,102878.55,0.0,0,1737189192423,6,0.0
1737189192,102880.25,102881.65,0.0,0,1737189192530,6,0.0
1737189192,102880.22,102881.62,0.0,0,1737189192641,6,0.0
1737189192,102877.14,102878.54,0.0,0,1737189192780,6,0.0
1737189193,102880.41,102881.81,0.0,0,1737189193015,6,0.0
1737189193,102879.97,102881.37,0.0,0,1737189193125,6,0.0
1737189193,102882.89,102884.29,0.0,0,1737189193246,6,0.0
1737189193,102884.36,102885.76,0.0,0,1737189193403,6,0.0
1737189193,102884.02,102885.42,0.0,0,1737189193510,6,0.0
1737189193,102882.45,102883.85,0.0,0,1737189193691,6,0.0
1737189193,102879.56,102880.96,0.0,0,1737189193861,6,0.0
1737189193,102881.57,102882.97,0.0,0,1737189193995,6,0.0
1737189194,102885.02,102886.42,0.0,0,1737189194142,6,0.0
1737189194,102877.16,102878.56,0.0,0,1737189194293,6,0.0
1737189194,102881.83,102883.23,0.0,0,1737189194989,6,0.0
1737189195,102884.18,102885.58,0.0,0,1737189195151,6,0.0
1737189195,102885.35,102886.75,0.0,0,1737189195265,6,0.0
1737189195,102888.69,102890.09,0.0,0,1737189195379,6,0.0
1737189195,102887.58,102888.98,0.0,0,1737189195487,6,0.0
1737189195,102886.94,102888.34,0.0,0,1737189195708,6,0.0
1737189195,102888.67,102890.07,0.0,0,1737189195884,6,0.0
1737189195,102888.33,102889.73,0.0,0,1737189195993,6,0.0
1737189196,102888.69,102890.09,0.0,0,1737189196139,6,0.0
1737189196,102888.7,102890.1,0.0,0,1737189196648,6,0.0
1737189197,102888.02,102889.42,0.0,0,1737189197610,6,0.0
1737189197,102885.48,102886.88,0.0,0,1737189197754,6,0.0
1737189198,102888.71,102890.11,0.0,0,1737189198035,6,0.0
1737189198,102888.0,102889.4,0.0,0,1737189198208,6,0.0
1737189198,102888.71,102890.11,0.0,0,1737189198324,6,0.0
1737189198,102888.72,102890.12,0.0,0,1737189198571,6,0.0
1737189198,102888.52,102889.92,0.0,0,1737189198678,6,0.0
1737189198,102886.81,102888.21,0.0,0,1737189198855,6,0.0
